@Basic
32/58,Basic_32-58
192/12,Healing Waltz_192-12
192/13,Divine Waltz_192-13
246/116,Divine Waltz II_246-116
192/14,Spectral Jig_192-14
192/15,Chocobo Jig_192-15
192/16,Steps_192-16
192/17,Steps_192-17
192/18,Steps_192-18
192/19,Steps_192-19
192/20,Steps_192-20
192/21,Steps_192-21
192/22,Steps_192-22
192/23,Steps_192-23
192/24,Steps_192-24
192/25,Flourishes_192-25
192/26,Flourishes_192-26
192/27,Flourishes_192-27
192/28,Flourishes_192-28
192/29,Flourishes_192-29
192/30,Flourishes_192-30
192/31,Flourishes_192-31
192/32,Flourishes_192-32
192/33,Flourishes_192-33
268/38,New samba?_268-38
@Unknown
296/21,Wards?_296-21
296/22,Wards?_296-22
296/23,Wards?_296-23
296/24,Wards?_296-24
296/25,Wards?_296-25
296/26,Runefencer animation type 1_296-26
296/27,Runefencer animation type 1_296-27
296/28,Runefencer animation type 1_296-28
296/29,Runefencer animation type 1_296-29
296/30,Runefencer animation type 1_296-30
296/31,Runefencer animation type 1_296-31
296/32,Runefencer animation type 1_296-32
296/33,Runefencer animation type 1_296-33
296/34,Runefencer animation type 1_296-34
296/35,Runefencer animation type 2_296-35
296/36,Runefencer animation type 2_296-36
296/37,Runefencer animation type 2_296-37
296/38,Runefencer animation type 2_296-38
296/39,Runefencer animation type 2_296-39
296/40,Runefencer animation type 2_296-40
296/41,Runefencer animation type 2_296-41
296/42,Runefencer animation type 2_296-42
296/43,Runefencer animation type 2_296-43
296/44,Runefencer animation type 3_296-44
296/45,Runefencer animation type 3_296-45
296/46,Runefencer animation type 3_296-46
296/47,Runefencer animation type 3_296-47
296/48,Runefencer animation type 3_296-48
296/49,Runefencer animation type 3_296-49
296/50,Runefencer animation type 3_296-50
296/51,Runefencer animation type 3_296-51
296/52,Runefencer animation type 3_296-52
