@Basic
42/4,Basic_42-4
297/101,Runefencer animation type 2_297-101
297/102,Runefencer animation type 2_297-102
297/103,Runefencer animation type 2_297-103
297/104,Runefencer animation type 2_297-104
297/105,Runefencer animation type 2_297-105
297/106,Runefencer animation type 2_297-106
297/107,Runefencer animation type 2_297-107
297/108,Runefencer animation type 2_297-108
297/109,Runefencer animation type 2_297-109
297/110,Runefencer animation type 3_297-110
297/111,Runefencer animation type 3_297-111
297/112,Runefencer animation type 3_297-112
297/113,Runefencer animation type 3_297-113
297/114,Runefencer animation type 3_297-114
297/115,Runefencer animation type 3_297-115
297/116,Runefencer animation type 3_297-116
